Project,Category,Template Name (EN),Template Name (ZH),Page ID (EN),Page ID (ZH),Version (EN),Version (ZH),Last Updated (EN),Last Updated (ZH),Template Code,Ticket Topic,Has EN,Has ZH,Is Pair,Confluence Link (EN),Confluence Link (ZH),Notes
AOPS/POS Templates,Cancellation Inquiries,Cancellation Inquiry SOP (DSC2S) - VCN,,,,27,,,,CAN,Cancellation,Yes,No,No,,,
AOPS/POS Templates,Cannot Print BOL / Packing Slip / Shipping Label,Cannot Print a BOL / Packing Slip or Shipping Label SOP (DSC2S) - VCN,,,,53,,,,BOL,Cannot Print BOL,Yes,No,No,,,
AOPS/POS Templates,Change Ship Method (CS Entered),Change Ship Method on PO - Not Shipped SOP (DSC2S) - VCN,,,,16,,,,CSC,Change Ship Method (CS,Yes,No,No,,,
AOPS/POS Templates,Change Ship Method (CS Entered),Change Ship Method or Carrier on PO Due to Item Count / Size (Supplier Entered) SOP (DSC2S) - VCN,,,,69,,,,CSC,Change Ship Method (CS,Yes,No,No,,,
AOPS/POS Templates,Escalating for Onshore Support,Escalating for Onshore Support (Tier 0 to Tier 1) SOP (DSC2S) - VCN,,,,14,,,,ESC,Escalat,Yes,No,No,,,
AOPS/POS Templates,Global Transfer Matrix,Global Transfer Matrix SOP (DSC2S),,,,91,,,,GTM,Global Transfer,Yes,No,No,,,
AOPS/POS Templates,Global Transfer Matrix,Global Transfer Matrix SOP (DSC2S) - VCN,,,,6,,,,GTM,Global Transfer,Yes,No,No,,,
AOPS/POS Templates,Lead Times,Lead Times SOP (DSC2S) - VCN,,,,61,,,,LTM,Lead Times,Yes,No,No,,,
AOPS/POS Templates,Multiple Damages,Multiple Damages SOP (DSC2S) - VCN,,,,26,,,,DMG,Multiple Damages,Yes,No,No,,,
AOPS/POS Templates,NMFC and Freight Code Requests,NMFC and Freight Code Requests SOP (DSC2S),,,,1,,,,NMFC,NMFC,Yes,No,No,,,
AOPS/POS Templates,Need PO to be Resent,Need PO to be Resent SOP (DSC2S) - VCN,,,,21,,,,NPR,Need PO,Yes,No,No,,,
AOPS/POS Templates,Escalating for Onshore Support,Onshore Escalations SOP (DSC2S),,,,34,,,,ESC,Escalat,Yes,No,No,,,
AOPS/POS Templates,PO Reroutes,PO Reroutes SOP (DSC2S),,,,20,,,,RER,PO Reroute,Yes,No,No,,,
AOPS/POS Templates,PO Reroutes,PO Reroutes SOP (DSC2S) - VCN,,,,1,,,,RER,PO Reroute,Yes,No,No,,,
AOPS/POS Templates,PO Has a Wrong Price,PO has a Wrong Price SOP (DSC2S) - VCN,,,,20,,,,WPR,PO Has a Wrong Price,Yes,No,No,,,
AOPS/POS Templates,Problem with an Order (PWAO),Problem with an Order (PWAO) SOP (DSC2S),,,,40,,,,PWAO,Problem with an Order,Yes,No,No,,,
AOPS/POS Templates,Product Out of Stock,Product Out of Stock SOP (DSC2S) - VCN,,,,28,,,,OOS,Product Out of Stock,Yes,No,No,,,
AOPS/POS Templates,Shipping/Carrier Questions,Shipping/Carrier Questions SOP (DSC2S) - VCN,,,,67,,,,SHP,Shipping/Carrier,Yes,No,No,,,
AOPS/POS Templates,Split PO,Split PO SOP (DSC2S) - VCN,,,,33,,,,SPL,Split PO,Yes,No,No,,,
AOPS/POS Templates,Tier 1 Ad Hoc Requests,Tier 1 Ad Hoc Requests SOP (DSC2S),,,,32,,,,T1,Tier 1,Yes,No,No,,,
AOPS/POS Templates,Update Tracking Number/Order Status,Update Tracking Number/Order Status SOP (DSC2S) - VCN,,,,46,,,,TRK,Update Tracking,Yes,No,No,,,
FMOP Templates,WDN Supplier Outreach,WDN Supplier Outreach SOP (DSC2S) - VCN,,,,16,,,,WDN,WDN Supplier,Yes,No,No,,,
FMOP Templates,WIMS,WIMS - Large Parcel SOP (DSC2S),,,,34,,,,WMS,WIMS,Yes,No,No,,,
FMOP Templates,WIMS,WIMS - Ship Status SOP (DSC2S),,,,76,,,,WMS,WIMS,Yes,No,No,,,
AOPS/POS Templates,Cannot Print BOL / Packing Slip / Shipping Label,[ARCHIVE 2December2025] Cannot Print a BOL / Packing Slip or Shipping Label SOP (DSC2S) - VCN,,,,46,,,,BOL,Cannot Print BOL,Yes,No,No,,,
,,,,,,,,,,,,,,,,,
=== SOP PAGES (Reference) ===,,,,,,,,,,,,,,,,,
Reference,Reference SOP,Best Practices and Ticket Etiquette (DSC2S),,,,70,,,,,,Yes,No,No,,,
Reference,Reference SOP,GPS QC Rubric (DSC2S),,,,36,,,,,,Yes,No,No,,,
Reference,Reference SOP,Requesting Ticket Help via Slack Workflows (DSC2S),,,,14,,,,,,Yes,No,No,,,
